,loss,accuracy,val_loss,val_accuracy
0,0.7272918224334717,0.6007000207901001,0.6264108419418335,0.6556000113487244
1,0.5941620469093323,0.6790000200271606,0.5769006013870239,0.6972000002861023
2,0.5498443841934204,0.7148500084877014,0.5548967719078064,0.7152000069618225
3,0.5218302607536316,0.7420499920845032,0.5585393309593201,0.7432000041007996
4,0.49117177724838257,0.7585499882698059,0.672923743724823,0.6966000199317932
5,0.46656107902526855,0.7789999842643738,0.44651299715042114,0.7925999760627747
6,0.4433806240558624,0.7942000031471252,0.4755061864852905,0.7918000221252441
7,0.42599570751190186,0.8040500283241272,0.43967869877815247,0.7922000288963318
8,0.4109456539154053,0.8112000226974487,0.3368033766746521,0.8483999967575073
9,0.3938594162464142,0.8212500214576721,0.4360734820365906,0.7922000288963318
10,0.3922157883644104,0.8225499987602234,0.5615392923355103,0.7824000120162964
11,0.37827444076538086,0.829800009727478,0.291181743144989,0.8730000257492065
12,0.37195485830307007,0.8332499861717224,0.41952574253082275,0.8166000247001648
13,0.3611108064651489,0.8367999792098999,0.48654088377952576,0.8230000138282776
14,0.3547474145889282,0.84170001745224,0.323278546333313,0.8561999797821045
15,0.3549690842628479,0.8412500023841858,0.4084271788597107,0.8295999765396118
16,0.34557032585144043,0.8493000268936157,0.35003119707107544,0.8483999967575073
17,0.34050244092941284,0.8526999950408936,0.35742419958114624,0.842199981212616
18,0.3288300931453705,0.855650007724762,0.2538447380065918,0.8952000141143799
19,0.3320603370666504,0.8550999760627747,0.30861178040504456,0.8637999892234802
