,loss,accuracy,val_loss,val_accuracy
0,0.676408052444458,0.5867499709129333,0.6112706065177917,0.6759999990463257
1,0.6154779195785522,0.6621500253677368,0.5693669319152832,0.7361999750137329
2,0.5623891353607178,0.7114999890327454,0.5154258608818054,0.7534000277519226
3,0.5349114537239075,0.7297000288963318,0.44554954767227173,0.7986000180244446
4,0.5148684978485107,0.7435500025749207,0.49433207511901855,0.7735999822616577
5,0.48970702290534973,0.761900007724762,0.41972479224205017,0.8080000281333923
6,0.47679027915000916,0.768750011920929,0.40317654609680176,0.8235999941825867
7,0.4608263671398163,0.7808499932289124,0.3967175781726837,0.8226000070571899
8,0.4453880488872528,0.7903000116348267,0.38746699690818787,0.83160001039505
9,0.432602196931839,0.7993999719619751,0.34546959400177,0.8537999987602234
10,0.4141460359096527,0.8070499897003174,0.3626205325126648,0.8416000008583069
11,0.405742883682251,0.8170999884605408,0.3586514890193939,0.852400004863739
12,0.39098793268203735,0.8222500085830688,0.32431602478027344,0.8604000210762024
13,0.3802153468132019,0.8306000232696533,0.33298051357269287,0.8568000197410583
14,0.3709453344345093,0.8331500291824341,0.3058684468269348,0.8695999979972839
15,0.3548285663127899,0.8409000039100647,0.31805670261383057,0.8641999959945679
16,0.3499072790145874,0.8493499755859375,0.33926713466644287,0.8510000109672546
17,0.34380877017974854,0.8475499749183655,0.2980912923812866,0.8794000148773193
18,0.33482825756073,0.8533999919891357,0.30608218908309937,0.873199999332428
19,0.33096790313720703,0.8557500243186951,0.28499722480773926,0.8804000020027161
